"Timestamp","TZ","5TE VWC (%)","5TE EC (dS/m)","5TE Temp (DegC)","Solar (W/m2)","Precipitation (mm)","WindSpeed (m/s)","WindDirection (Deg)","GustWS (m/s)","AirTemp (DegC)","Pressure (hPa)","RH (%)"
2019/07/08 12:28:00.001,n,NotYetSet,NotYetSet,NotYetSet,0,0,0.12,95.7,0.13,26.5,1000,33.099998
2019/07/08 12:29:00.001,n,-2.406463,0,26.1,0,0,0.28,53.1,0.91,26.6,1000,48.6
2019/07/08 12:30:00.002,n,-2.322205,0,25.9,0,0,0.11,76.3,0.14,26.9,999.9,48.100004
2019/07/08 12:31:00.001,n,-2.406463,0,25.9,0,0,0.09,91.2,0.12,26.6,999.9,50.5
2019/07/08 12:32:00.003,n,-2.378366,0.01,26,0,0,0.07,83.6,0.09,26.6,1000,49.5
2019/07/17 09:38:00.002,n,-2.322205,0,26.4,0,0.017,0.12,90.1,0.12,25.9,1006.1,35.8
2019/07/17 09:39:00.001,n,-2.322205,0,26.3,0,0,0.08,54.9,0.12,25.6,1006.1,53.899996
2019/07/17 09:40:00.008,n,-2.35028,0,26.4,0,0,0.03,6.6,0.06,25.3,1006.1,53.8
2019/07/17 09:41:00.009,n,-2.35028,0,26.2,0,0,0.05,31.7,0.09,25.4,1006.1,52.8
2019/07/17 09:42:00.002,n,-2.35028,0,26.2,0,0,0.08,40.5,0.1,25.5,1006.1,51.6
2019/07/17 09:43:00.009,n,-2.322205,0,26.1,0,0,0.07,25.8,0.12,25.6,1006.1,50.800004
2019/07/17 09:44:00.001,n,-2.322205,0,26,0,0,0.06,36,0.07,25.5,1006.1,50.300004
2019/07/17 09:45:00.009,n,-2.322205,0,26,0,0,0.06,28.6,0.08,25.5,1006,50.1
2019/07/17 09:46:00.001,n,-2.322205,0,26,0,0,0.06,34,0.1,25.6,1006.1,49.5
2019/07/17 09:47:00.002,n,-2.35028,0,25.9,0,0,0.07,32.7,800000,25.5,1006.1,49.399996
2019/07/17 09:48:00.001,n,-2.322205,0,25.9,0,0,0.08,43,0.11,25.6,1006,48.8
2019/07/17 09:49:00.001,n,-2.322205,0,25.8,0,0,0.06,38.4,0.07,25.5,1006.1,48.899996
2019/07/17 09:50:00.002,n,-2.322205,0,25.8,1,0,0.07,49.4,0.09,25.5,1006.1,48.699996
2019/07/17 09:51:00.011,n,-2.322205,0,25.8,1,0,0.04,25.1,0.07,25.3,1006,49.2
2019/07/17 09:52:00.003,n,-2.322205,0,25.9,1,0,0.07,18.6,0.11,25.3,1006,48.8
2019/07/17 09:53:00.012,n,-2.35028,0,25.8,1,0,0.08,47.1,0.1,25.5,1006,48.100004
2019/07/17 09:54:00.012,n,-2.35028,0,25.7,1,0,0.06,40,0.08,25.4,1006,48.3
2019/07/17 09:55:00.004,n,-2.35028,0,25.8,1,0,0.06,42.2,0.09,25.5,1006,47.8
2019/07/17 09:56:00.002,n,-2.35028,0,25.7,1,0,0.06,48.4,0.07,25.4,1006,47.8
2019/07/17 09:57:00.002,n,-2.35028,0,25.6,0,0,0.05,30.3,0.08,25.3,1006,48.4
2019/07/17 09:58:00.002,n,-2.35028,0,25.6,0,0,0.06,51.8,0.1,25.4,1006,48
2019/07/17 09:59:00.009,n,-2.322205,0,25.6,1,0,0.04,28.7,0.05,25.2,1006,48.3
2019/07/17 10:00:00.002,n,-2.35028,0,25.6,0,0,0.03,13.8,0.05,25.1,1005.9,48.3
